States/UTs,Area,Number of Households surveyed,Number of Women age 15-49 years interviewed,Female population age 6 years and above who ever attended school (%),Population below age 15 years (%),Households using clean fuel for cooking3 (%),Women (age 15-49) who are literate4 (%),Women (age 15-49)  with 10 or more years of schooling (%),Women (age 15-49)  who have ever used the internet (%),Women age 20-24 years married before age 18 years (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),Women (age 15-49 years) who have comprehensive knowledge24 of HIV/AIDS (%),Women (age 15-49 years) who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%),Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),Young women age 18-29 years who experienced sexual violence by age 18 (%),Women age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who consume alcohol (%)
India,Urban,160138,179535,82.5,23.1,89.7,83,56.3,51.8,14.7,13.2,33.2,59.9, ,8,16.3,13.6,5.2,23.6,2.2,1.2,1.2, ,76.1,89.4,24.2,2.5,1.1,5.4,0.6
India,Rural,476561,544580,66.8,28.1,43.2,65.9,33.7,24.6,27,21.2,19.7,55.2,5.9,5.5,12.3,11.9,5.2,20.2,1.7,0.7,0.8,18.2,64.7,72.3,31.6,3.4,1.6,10.5,1.6
India,Total,636699,724115,71.8,26.5,58.6,71.5,41,33.3,23.3,18.7,24,56.7,6.1,6.3,13.5,12.4,5.2,21.3,1.9,0.9,0.9,21.6,68.4,77.3,29.3,3.1,1.5,8.9,1.3
Andaman & Nicobar Islands,Urban,527,557,86.5,22.7,95.6,86.6,59.7,44.1,17.4,11.3,41.7,72.2,8.6,9.4,19.6,12.6,5,23.4,1.7,0,10,10.1,81.4,98.5,23.2,0,1.4,15,0.7
Andaman & Nicobar Islands,Rural,2097,1840,81.8,19.7,71,85.6,47.6,27.9,15.3,8.2,35.7,80.7,6.7,7.3,16.2,16.9,4.8,26.4,2.8,2.6,10.2,18.4,72.5,99.1,13.2,0.5,2.2,41.1,7.6
Andaman & Nicobar Islands,Total,2624,2397,83.5,20.8,79.8,86,52.5,34.8,16.2,9.4,38.1,77.3,7.4,8.1,17.5,15.3,4.9,25.3,2.4,1.6,10.1,14.9,76.3,98.9,17.2,0.3,1.8,31.3,5
Andhra Pradesh,Urban,3192,3161,75.5,21.3,96.6,79,51.2,33.9,21.7,11.9,44.4,52.7,7.8,13.2,23.2,14.4,6.2,27.5,4.3,0.7,8.3,29.1,70.8,90.6,28.8,3.5,3.8,1.9,0.3
Andhra Pradesh,Rural,8154,7814,61.2,22.6,77.9,63.8,34.3,15.4,32.9,16.2,32.6,47.2,7,9.2,17.9,13.2,5.8,24.3,4.8,0.8,6.8,22.6,59.7,82.5,30.5,3.9,3.7,4.7,0.6
Andhra Pradesh,Total,11346,10975,65.6,22.2,83.6,68.6,39.6,21,29.3,14.8,36.3,48.9,7.3,10.4,19.5,13.6,5.9,25.3,4.7,0.8,7.3,24.6,63,85.1,30,3.8,3.7,3.8,0.5
Arunachal Pradesh,Urban,3714,4211,83.2,26.2,90.2,84.7,55.4,70,16.7,5.6,28.9,66.6,4.7,3.7,9.6,16.1,6.8,25.3,1.4,0.7,1,11.1,58.6,93.5,18.5,1.1,0.1,14,14.9
Arunachal Pradesh,Rural,14554,15554,69,27.2,46.3,71.6,36.2,49.6,19.3,5.7,22.9,69.4,4.6,3,8.2,16.5,6.7,24.8,0.7,0.3,0.5,12.5,62.9,91.4,26,3.3,0.8,19.7,25.9
Arunachal Pradesh,Total,18268,19765,71.2,27.1,53.2,73.8,39.4,52.9,18.9,5.7,23.9,68.9,4.6,3.1,8.4,16.4,6.7,24.9,0.8,0.3,0.6,12.3,62.2,91.8,24.8,3,0.7,18.8,24.2
Assam,Urban,3988,4291,87.9,21.3,85.5,87.5,49,49,22.3,13.9,23.8,66.6,8.4,7,16.6,12,5.1,22.5,0.6,0.4,0.4,24.1,76.3,82.9,26.6,2.2,7.4,16.2,2.6
Assam,Rural,26131,30688,76.5,29.5,33.7,75.4,26.2,24.4,33.4,18.3,13.6,67.3,6.6,4.5,12.1,10.8,4.7,18.5,0.1,0.2,0.2,18.3,70.6,63.8,32.9,2.3,8.1,23.2,8.2
